fullname,type,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
285C,14,2,6,4,8,8,12,17.51,36.0,1.33,48.0,2.67,0.012,0,7,7,0.0,70.4,70.4
285C,15,2,6,4,8,8,12,17.51,36.0,1.33,48.0,2.67,0.012,0,7,7,0.0,70.4,70.4
285C,16,2,4,2,4,6,6,10.0,15.51,1.0,15.51,0.86,0.0052,0,4,4,0.0,78.26,78.26
285C,17,2,6,3,6,8,9,17.51,27.0,1.0,27.0,1.5,0.009,0,7,7,0.0,71.14,71.14
285C,18,2,6,3,6,8,9,17.51,27.0,1.0,27.0,1.5,0.009,0,7,7,0.0,71.27,71.27
285C,19,3,5,4,7,8,11,16.36,33.0,2.1,69.3,3.85,0.011,1,9,9,0.0,68.28,68.28
285C,20,3,5,4,7,8,11,16.36,33.0,2.1,69.3,3.85,0.011,1,11,9,11.11,86.91,86.91
285C,21,2,6,4,8,8,12,17.51,36.0,1.33,48.0,2.67,0.012,0,7,7,0.0,70.4,70.4
285C,22,2,7,5,10,9,15,21.65,47.55,1.43,67.93,3.77,0.0158,0,10,9,0.0,67.17,67.17
285C,23,2,6,3,6,8,9,17.51,27.0,1.0,27.0,1.5,0.009,0,4,5,0.0,74.46,74.46
285C,24,2,5,3,6,7,9,13.61,25.27,1.2,30.32,1.68,0.0084,0,11,9,22.22,93.33,93.33
285C,25,2,4,3,6,6,9,10.0,23.26,1.5,34.9,1.94,0.0078,0,7,4,133.33,96.94,96.94
285C,26,2,6,3,6,8,9,17.51,27.0,1.0,27.0,1.5,0.009,0,10,8,0.0,70.01,70.01
285C,27,2,5,3,6,7,9,13.61,25.27,1.2,30.32,1.68,0.0084,0,12,9,11.11,87.72,87.72
285C,28,3,8,4,8,11,12,28.75,41.51,1.5,62.27,3.46,0.0138,0,8,8,0.0,68.57,68.57
285C,29,4,8,5,9,12,14,32.0,50.19,2.25,112.93,6.27,0.0167,2,14,12,0.0,64.15,64.15
285C,30,4,8,5,9,12,14,32.0,50.19,2.25,112.93,6.27,0.0167,2,14,12,0.0,64.15,64.15
285C,31,2,6,3,6,8,9,17.51,27.0,1.0,27.0,1.5,0.009,0,9,6,0.0,72.73,72.73
285C,32,2,6,3,6,8,9,17.51,27.0,1.0,27.0,1.5,0.009,0,5,6,0.0,72.73,72.73
285C,33,3,8,4,8,11,12,28.75,41.51,1.5,62.27,3.46,0.0138,4,26,18,0.0,60.88,60.88
285C,34,2,6,3,6,8,9,17.51,27.0,1.0,27.0,1.5,0.009,0,10,7,0.0,71.14,71.14
285C,35,2,6,3,6,8,9,17.51,27.0,1.0,27.0,1.5,0.009,0,8,8,0.0,69.87,69.87
285C,36,2,4,2,4,6,6,10.0,15.51,1.0,15.51,0.86,0.0052,0,3,3,0.0,80.99,80.99
285C,37,7,17,11,21,24,32,89.14,146.72,4.32,634.34,35.24,0.0489,0,19,17,11.76,76.12,76.12
285C,38,2,6,3,6,8,9,17.51,27.0,1.0,27.0,1.5,0.009,0,9,7,28.57,97.43,97.43
285C,39,2,6,3,6,8,9,17.51,27.0,1.0,27.0,1.5,0.009,0,12,8,0.0,69.74,69.74
285C,40,2,6,3,6,8,9,17.51,27.0,1.0,27.0,1.5,0.009,0,7,7,0.0,71.14,71.14
285C,mean,2.52,6.65,3.83,7.55,9.18,11.38,22.74,38.03,1.45,81.89,4.55,0.01,0.3,9.6,8.28,5.56,73.43,73.43
285C,std,1.26,3.42,2.17,4.35,4.61,6.51,21.58,34.79,0.83,181.2,10.07,0.01,0.81,5.58,4.1,21.36,8.39,8.39
288A,1,8,13,14,27,21,41,72.11,180.09,8.31,1496.09,83.12,0.06,0,12,11,9.09,77.38,77.38
288A,2,9,13,16,28,22,44,76.64,196.21,9.69,1901.78,105.65,0.0654,0,29,26,0.0,52.0,52.0
288A,3,10,16,14,26,26,40,97.22,188.02,8.12,1527.64,84.87,0.0627,0,5,8,0.0,63.57,63.57
288A,4,6,15,17,32,21,49,74.11,215.22,6.4,1377.43,76.52,0.0717,0,16,20,0.0,54.07,54.07
288A,5,8,13,12,23,21,35,72.11,153.73,7.08,1087.94,60.44,0.0512,0,17,17,0.0,56.91,56.91
288A,6,10,15,15,29,25,44,91.82,204.33,9.67,1975.19,109.73,0.0681,0,18,18,0.0,55.5,55.5
288A,7,9,18,16,32,27,48,103.59,228.23,8.0,1825.88,101.44,0.0761,0,11,11,0.0,59.83,59.83
288A,8,9,13,14,26,22,40,76.64,178.38,9.0,1605.4,89.19,0.0595,0,4,7,0.0,65.13,65.13
288A,9,8,15,14,27,23,41,82.6,185.47,7.2,1335.36,74.19,0.0618,0,26,21,0.0,54.06,54.06
288A,10,11,15,15,29,26,44,96.66,206.82,10.63,2199.18,122.18,0.0689,0,34,18,58.82,84.56,84.56
288A,11,10,18,16,31,28,47,108.28,225.95,8.61,1945.64,108.09,0.0753,0,9,10,0.0,60.76,60.76
288A,12,9,19,18,34,28,52,109.24,249.98,8.05,2013.02,111.83,0.0833,4,12,12,0.0,59.0,59.0
288A,13,11,18,16,31,29,47,113.11,228.33,9.47,2162.75,120.15,0.0761,0,15,14,0.0,57.54,57.54
288A,14,9,28,19,35,37,54,163.14,281.31,5.62,1582.37,87.91,0.0938,0,5,9,0.0,61.5,61.5
288A,mean,9.07,16.36,15.43,29.29,25.43,44.71,95.52,208.72,8.28,1716.83,95.38,0.07,0.29,15.21,14.43,4.85,61.56,61.56
288A,std,1.28,3.81,1.76,3.26,4.24,4.98,23.53,31.61,1.33,322.45,17.91,0.01,1.03,8.79,5.45,15.15,8.8,8.8
29C,1,4,9,5,9,13,14,36.53,51.81,2.0,103.61,5.76,0.0173,12,38,40,0.0,51.97,51.97
29C,2,2,4,2,4,6,6,10.0,15.51,1.0,15.51,0.86,0.0052,7,25,22,13.64,81.56,81.56
29C,mean,3,6.5,3.5,6.5,9.5,10,23.27,33.66,1.5,59.56,3.31,0.01,9.5,31.5,31,6.82,66.77,66.77
29C,std,1.0,2.5,1.5,2.5,3.5,4.0,13.27,18.15,0.5,44.05,2.45,0.01,2.5,6.5,9.0,6.82,14.8,14.8
292A,1,2,5,4,8,7,12,13.61,33.69,1.6,53.9,2.99,0.0112,0,15,12,0.0,65.49,65.49
292A,2,2,6,4,8,8,12,17.51,36.0,1.33,48.0,2.67,0.012,0,7,7,0.0,70.4,70.4
292A,mean,2,5.5,4,8,7.5,12,15.56,34.84,1.47,50.95,2.83,0.01,0,11,9.5,0.0,67.94,67.94
292A,std,0.0,0.5,0.0,0.0,0.5,0.0,1.95,1.16,0.14,2.95,0.16,0.0,0.0,4.0,2.5,0.0,2.46,2.46
296A,1,3,6,3,6,9,9,20.26,28.53,1.5,42.79,2.38,0.0095,0,9,8,12.5,89.26,89.26
296A,2,6,10,9,17,16,26,48.73,104.0,5.1,530.4,29.47,0.0347,0,37,28,0.0,53.23,53.23
296A,3,3,6,3,6,9,9,20.26,28.53,1.5,42.79,2.38,0.0095,0,4,4,0.0,76.41,76.41
296A,4,2,4,2,4,6,6,10.0,15.51,1.0,15.51,0.86,0.0052,2,15,11,0.0,68.68,68.68
296A,5,4,8,5,10,12,15,32.0,53.77,2.5,134.44,7.47,0.0179,0,15,14,0.0,62.07,62.07
296A,6,6,11,7,14,17,21,53.56,85.84,3.82,327.74,18.21,0.0286,0,21,17,0.0,58.68,58.68
296A,7,6,11,7,14,17,21,53.56,85.84,3.82,327.74,18.21,0.0286,0,22,17,0.0,58.68,58.68
296A,8,2,5,3,6,7,9,13.61,25.27,1.2,30.32,1.68,0.0084,0,12,12,0.0,66.1,66.1
296A,9,6,11,7,14,17,21,53.56,85.84,3.82,327.74,18.21,0.0286,0,21,16,0.0,59.25,59.25
296A,10,3,6,3,6,9,9,20.26,28.53,1.5,42.79,2.38,0.0095,0,17,11,0.0,66.69,66.69
296A,11,3,6,3,6,9,9,20.26,28.53,1.5,42.79,2.38,0.0095,0,17,11,0.0,66.69,66.69
296A,12,3,6,3,6,9,9,20.26,28.53,1.5,42.79,2.38,0.0095,0,3,3,0.0,79.0,79.0
296A,13,4,9,5,10,13,15,36.53,55.51,2.22,123.35,6.85,0.0185,0,14,13,0.0,62.95,62.95
296A,14,4,9,5,10,13,15,36.53,55.51,2.22,123.35,6.85,0.0185,0,15,14,0.0,62.11,62.11
296A,15,5,10,7,14,15,21,44.83,82.04,3.5,287.16,15.95,0.0273,0,22,18,0.0,58.27,58.27
296A,16,4,9,5,10,13,15,36.53,55.51,2.22,123.35,6.85,0.0185,0,11,11,0.0,64.4,64.4
296A,17,3,7,4,8,10,12,24.41,39.86,1.71,68.34,3.8,0.0133,0,8,11,0.0,65.4,65.4
296A,18,5,11,6,12,16,18,49.66,72.0,2.73,196.36,10.91,0.024,0,14,14,0.0,61.32,61.32
296A,19,4,9,5,10,13,15,36.53,55.51,2.22,123.35,6.85,0.0185,0,10,10,0.0,65.43,65.43
296A,20,4,9,5,10,13,15,36.53,55.51,2.22,123.35,6.85,0.0185,0,14,14,0.0,62.25,62.25
296A,21,4,8,4,8,12,12,32.0,43.02,2.0,86.04,4.78,0.0143,0,14,12,0.0,64.35,64.35
296A,22,3,5,3,6,8,9,16.36,27.0,1.8,48.6,2.7,0.009,0,10,11,0.0,66.72,66.72
296A,23,2,6,4,8,8,12,17.51,36.0,1.33,48.0,2.67,0.012,0,14,15,0.0,62.78,62.78
296A,24,6,14,10,20,20,30,68.81,129.66,4.29,555.68,30.87,0.0432,0,16,20,0.0,55.75,55.75
296A,25,5,12,8,16,17,24,54.63,98.1,3.33,327.0,18.17,0.0327,0,9,9,0.0,64.7,64.7
296A,26,4,9,5,10,13,15,36.53,55.51,2.22,123.35,6.85,0.0185,0,15,15,0.0,61.32,61.32
296A,27,6,9,6,11,15,17,44.04,66.42,3.67,243.53,13.53,0.0221,0,11,11,0.0,63.99,63.99
296A,28,6,12,8,16,18,24,58.53,100.08,4.0,400.31,22.24,0.0334,0,17,11,9.09,79.71,79.71
296A,29,5,11,7,14,16,21,49.66,84.0,3.18,267.27,14.85,0.028,0,9,9,0.0,65.17,65.17
296A,mean,4.17,8.59,5.24,10.41,12.76,15.66,36.07,58.96,2.54,178.49,9.92,0.02,0.07,14.34,12.76,0.74,65.22,65.22
296A,std,1.31,2.47,2.03,3.99,3.7,6.01,15.36,28.6,1.07,149.0,8.28,0.01,0.36,6.36,4.67,2.77,7.42,7.42
298A,1,6,11,13,23,17,36,53.56,147.15,6.27,923.02,51.28,0.049,0,13,13,0.0,59.85,59.85
298A,2,6,27,27,52,33,79,143.89,398.51,5.78,2302.49,127.92,0.1328,0,19,18,0.0,53.47,53.47
298A,3,6,20,16,31,26,47,101.95,220.92,4.65,1027.28,57.07,0.0736,0,13,12,0.0,59.51,59.51
298A,4,4,10,8,14,14,22,41.22,83.76,2.8,234.53,13.03,0.0279,3,13,11,0.0,63.28,63.28
298A,5,7,44,37,74,51,111,259.87,629.64,5.89,3706.29,205.9,0.2099,0,32,32,0.0,45.55,45.55
298A,mean,5.8,22.4,20.2,38.8,28.2,59,120.1,296.0,5.08,1638.72,91.04,0.1,0.6,18,17.2,0.0,56.33,56.33
298A,std,0.98,12.47,10.46,21.63,13.23,32.08,78.84,197.31,1.26,1230.71,68.37,0.07,1.2,7.38,7.78,0.0,6.25,6.25
3A,1,4,89,59,118,93,177,584.34,1157.43,2.65,3069.14,170.51,0.3858,0,63,65,0.0,36.18,36.18
3A,2,7,59,49,98,66,147,366.73,888.53,5.81,5165.5,286.97,0.2962,0,62,52,22.0,64.05,64.05
3A,3,8,77,54,104,85,158,506.54,1012.68,5.4,5471.12,303.95,0.3376,0,56,51,0.0,38.75,38.75
3A,4,6,9,12,24,15,36,44.04,140.65,8.0,1125.18,62.51,0.0469,0,28,28,0.0,52.31,52.31
3A,5,7,20,20,39,27,59,106.09,280.54,6.83,1914.67,106.37,0.0935,0,25,25,0.0,51.29,51.29
3A,6,5,15,12,22,20,34,70.21,146.95,3.67,538.8,29.93,0.049,3,16,15,0.0,57.96,57.96
3A,7,6,16,18,36,22,54,79.51,240.81,6.75,1625.46,90.3,0.0803,0,24,25,9.52,69.2,69.2
3A,8,6,24,21,42,30,63,125.55,309.13,5.25,1622.95,90.16,0.103,0,25,23,0.0,51.65,51.65
3A,9,5,16,15,30,21,45,75.61,197.65,4.69,926.5,51.47,0.0659,0,30,22,0.0,53.7,53.7
3A,10,5,30,26,52,35,78,158.82,400.08,4.33,1733.7,96.32,0.1334,0,52,43,0.0,42.52,42.52
3A,11,5,12,17,32,17,49,54.63,200.29,6.67,1335.24,74.18,0.0668,0,33,30,0.0,50.85,50.85
3A,12,8,24,23,45,32,68,134.04,340.0,7.5,2550.0,141.67,0.1133,3,45,40,0.0,45.85,45.85
3A,13,4,21,19,38,25,57,100.24,264.7,3.62,957.96,53.22,0.0882,0,27,24,4.17,62.37,62.37
3A,14,5,20,13,26,25,39,98.05,181.11,3.25,588.61,32.7,0.0604,0,23,24,0.0,53.14,53.14
3A,15,4,12,12,24,16,36,51.02,144.0,4.0,576.0,32.0,0.048,0,25,23,19.05,77.36,77.36
3A,16,7,64,45,90,71,135,403.65,830.22,4.92,4086.22,227.01,0.2767,0,70,46,34.78,68.21,68.21
3A,17,8,29,28,54,37,82,164.88,427.18,7.45,3181.72,176.76,0.1424,0,81,81,0.0,35.51,35.51
3A,18,3,15,17,34,18,51,63.36,212.67,3.4,723.06,40.17,0.0709,0,45,45,0.0,45.49,45.49
3A,19,6,22,13,26,28,39,113.62,187.49,3.55,664.73,36.93,0.0625,0,28,20,5.0,67.83,67.83
3A,20,13,35,29,52,48,81,227.63,452.38,9.66,4368.72,242.71,0.1508,8,64,48,0.0,43.12,43.12
3A,21,5,44,34,68,49,102,251.82,572.7,3.86,2212.71,122.93,0.1909,0,45,42,2.44,52.43,52.43
3A,22,9,54,43,86,63,129,339.29,771.07,7.17,5526.0,307.0,0.257,7,72,63,0.0,37.44,37.44
3A,23,6,15,17,34,21,51,74.11,224.01,6.8,1523.26,84.63,0.0747,0,28,24,0.0,52.36,52.36
3A,24,7,130,80,160,137,240,932.56,1703.53,4.31,7338.27,407.68,0.5678,0,65,64,0.0,31.92,31.92
3A,25,6,15,19,38,21,57,74.11,250.36,7.6,1902.75,105.71,0.0835,0,26,22,13.64,73.23,73.23
3A,26,10,65,41,77,75,118,424.67,735.0,5.92,4353.47,241.86,0.245,28,120,70,75.38,64.53,64.53
3A,27,5,18,31,62,23,93,86.67,420.69,8.61,3622.62,201.26,0.1402,1,41,41,0.0,44.56,44.56
3A,28,6,32,21,42,38,63,175.51,330.62,3.94,1301.81,72.32,0.1102,0,42,36,0.0,47.33,47.33
3A,29,8,24,47,94,32,141,134.04,705.0,15.67,11045.0,613.61,0.235,0,50,48,0.0,40.69,40.69
3A,mean,6.34,34.69,28.79,56.79,41.03,85.59,207.63,473.36,5.91,2794.87,155.27,0.16,1.72,45.21,39.31,6.41,52.13,52.13
3A,std,2.02,27.58,16.67,33.19,28.22,49.84,199.25,363.24,2.58,2360.66,131.15,0.12,5.35,22.56,17.11,15.39,11.92,11.92
3B,1,9,55,64,123,64,187,346.5,1122.0,10.06,11291.4,627.3,0.374,4,97,94,8.89,48.1,48.1
3B,2,9,30,28,53,39,81,175.74,428.12,7.95,3403.53,189.09,0.1427,2,41,30,0.0,46.39,46.39
3B,3,6,19,11,22,25,33,96.22,153.25,3.47,532.33,29.57,0.0511,0,46,36,19.44,72.42,72.42
3B,4,10,62,66,134,72,200,402.38,1233.99,10.81,13335.0,740.83,0.4113,0,51,53,10.87,55.57,55.57
3B,5,9,57,60,122,66,182,361.0,1100.08,9.63,10595.5,588.64,0.3667,0,49,51,11.36,57.03,57.03
3B,6,9,54,61,122,63,183,339.29,1093.84,10.17,11120.73,617.82,0.3646,0,54,47,0.0,39.15,39.15
3B,7,7,30,32,61,37,93,166.86,484.48,7.12,3447.88,191.55,0.1615,0,44,45,0.0,43.12,43.12
3B,8,7,30,32,61,37,93,166.86,484.48,7.12,3447.88,191.55,0.1615,0,44,45,0.0,43.12,43.12
3B,9,10,55,42,89,65,131,351.19,788.93,8.09,6383.16,354.62,0.263,11,83,65,3.12,47.14,47.14
3B,mean,8.44,43.56,44,87.44,52,131.44,267.34,765.46,8.27,7061.93,392.33,0.26,1.89,56.56,51.78,5.96,50.23,50.23
3B,std,1.34,15.08,18.46,37.55,16.25,55.97,107.16,367.2,2.13,4330.8,240.6,0.12,3.48,18.55,17.63,6.61,9.54,9.54
3D,1,6,12,13,24,18,37,58.53,154.29,6.0,925.72,51.43,0.0514,0,36,30,0.0,51.38,51.38
3D,2,6,13,13,25,19,38,63.62,161.42,5.77,931.28,51.74,0.0538,0,33,29,0.0,51.7,51.7
3D,3,6,14,14,26,20,40,68.81,172.88,5.57,963.17,53.51,0.0576,0,33,29,0.0,51.49,51.49
3D,mean,6,13,13.33,25,19,38.33,63.65,162.86,5.78,940.06,52.23,0.05,0,34,29.33,0.0,51.52,51.52
3D,std,0.0,0.82,0.47,0.82,0.82,1.25,4.2,7.66,0.18,16.5,0.92,0.0,0.0,1.41,0.47,0.0,0.13,0.13
31B,1,8,31,26,51,39,77,177.58,406.98,6.58,2678.16,148.79,0.1357,15,45,42,9.76,61.8,61.8
31B,2,7,20,15,30,27,45,106.09,213.97,5.25,1123.34,62.41,0.0713,0,16,21,0.0,53.23,53.23
31B,3,7,18,15,30,25,45,94.71,208.97,5.83,1219.01,67.72,0.0697,0,17,22,0.0,52.86,52.86
31B,4,5,14,6,14,19,20,64.91,84.96,2.5,212.4,11.8,0.0283,0,11,12,0.0,62.01,62.01
31B,5,8,17,16,32,25,48,93.49,222.91,7.53,1678.34,93.24,0.0743,1,27,25,0.0,51.85,51.85
31B,6,6,11,10,16,17,26,53.56,106.27,4.36,463.74,25.76,0.0354,0,13,14,0.0,60.0,60.0
31B,7,8,26,24,46,34,70,146.21,356.12,7.08,2520.25,140.01,0.1187,0,29,31,0.0,47.85,47.85
31B,8,8,26,20,40,34,60,146.21,305.25,6.15,1878.45,104.36,0.1017,0,39,34,0.0,47.31,47.31
31B,9,6,23,17,33,29,50,119.55,242.9,4.3,1045.52,58.08,0.081,0,14,20,0.0,53.57,53.57
31B,10,5,14,13,25,19,38,64.91,161.42,4.46,720.63,40.04,0.0538,0,35,32,0.0,50.77,50.77
31B,11,7,20,14,26,27,40,106.09,190.2,4.55,865.39,48.08,0.0634,6,24,19,0.0,55.34,55.34
31B,12,7,36,29,56,43,85,205.77,461.23,5.44,2511.15,139.51,0.1537,0,29,30,0.0,47.24,47.24
31B,13,7,38,30,59,45,89,219.07,488.77,5.43,2656.11,147.56,0.1629,0,30,31,7.14,62.27,62.27
31B,14,7,38,30,59,45,89,219.07,488.77,5.43,2656.11,147.56,0.1629,0,30,31,7.14,62.27,62.27
31B,15,8,46,37,72,54,109,278.08,627.28,6.26,3927.34,218.19,0.2091,0,65,42,2.38,51.64,51.64
31B,16,8,46,37,72,54,109,278.08,627.28,6.26,3927.34,218.19,0.2091,0,65,40,2.5,52.32,52.32
31B,mean,7,26.5,21.19,41.31,33.5,62.5,148.34,324.58,5.46,1880.2,104.46,0.11,1.38,30.56,27.88,1.81,54.52,54.52
31B,std,1.0,11.03,9.17,17.93,11.64,27.08,71.16,168.89,1.21,1116.35,62.02,0.06,3.81,16.0,9.05,3.13,5.3,5.3
31C,1,6,21,18,36,27,54,107.75,256.76,5.14,1320.5,73.36,0.0856,9,56,50,6.25,58.53,58.53
31C,2,6,36,24,49,42,73,201.63,393.64,4.08,1607.36,89.3,0.1312,18,74,54,1.85,50.43,50.43
31C,mean,6,28.5,21,42.5,34.5,63.5,154.69,325.2,4.61,1463.93,81.33,0.11,13.5,65,52,4.05,54.48,54.48
31C,std,0.0,7.5,3.0,6.5,7.5,9.5,46.94,68.44,0.53,143.43,7.97,0.02,4.5,9.0,2.0,2.2,4.05,4.05
35D,1,4,7,5,10,11,15,27.65,51.89,2.86,148.26,8.24,0.0173,0,32,23,13.04,77.64,77.64
35D,mean,4,7,5,10,11,15,27.65,51.89,2.86,148.26,8.24,0.02,0,32,23,13.04,77.64,77.64
35D,std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40B,1,4,17,13,26,21,39,77.49,171.3,3.06,523.98,29.11,0.0571,0,7,7,0.0,65.79,65.79
40B,2,7,30,28,56,37,84,166.86,437.59,6.53,2858.95,158.83,0.1459,0,10,10,0.0,58.89,58.89
40B,3,8,34,31,62,42,93,196.97,501.49,7.29,3657.89,203.22,0.1672,0,12,12,0.0,56.61,56.61
40B,mean,6.33,27,24,48,33.33,72,147.11,370.13,5.63,2346.94,130.39,0.12,0,9.67,9.67,0.0,60.43,60.43
40B,std,1.7,7.26,7.87,15.75,8.96,23.62,50.74,142.99,1.84,1329.65,73.87,0.05,0.0,2.05,2.05,0.0,3.9,3.9
42C,1,9,43,33,65,52,98,261.86,558.64,6.8,3800.07,211.12,0.1862,2,43,36,2.78,55.23,55.23
42C,mean,9,43,33,65,52,98,261.86,558.64,6.8,3800.07,211.12,0.19,2,43,36,2.78,55.23,55.23
42C,std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43D,1,9,23,38,71,32,109,132.57,545.0,13.89,7570.76,420.6,0.1817,0,72,49,32.65,67.69,67.69
43D,mean,9,23,38,71,32,109,132.57,545.0,13.89,7570.76,420.6,0.18,0,72,49,32.65,67.69,67.69
43D,std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44B,1,6,15,10,20,21,30,74.11,131.77,4.0,527.08,29.28,0.0439,0,12,11,0.0,61.9,61.9
44B,2,6,18,12,24,24,36,90.57,165.06,4.0,660.23,36.68,0.055,0,9,10,0.0,62.25,62.25
44B,mean,6,16.5,11,22,22.5,33,82.34,148.42,4.0,593.65,32.98,0.05,0,10.5,10.5,0.0,62.08,62.08
44B,std,0.0,1.5,1.0,2.0,1.5,3.0,8.23,16.64,0.0,66.57,3.7,0.01,0.0,1.5,0.5,0.0,0.18,0.18
47A,1,5,9,6,12,14,18,40.14,68.53,3.33,228.44,12.69,0.0228,0,13,12,0.0,63.2,63.2
47A,2,4,7,4,8,11,12,27.65,41.51,2.29,94.89,5.27,0.0138,0,8,8,0.0,68.57,68.57
47A,3,5,11,10,20,16,30,49.66,120.0,4.55,545.45,30.3,0.04,0,11,11,0.0,62.19,62.19
47A,4,3,5,4,8,8,12,16.36,36.0,2.4,86.4,4.8,0.012,0,10,10,0.0,66.89,66.89
47A,5,4,7,4,8,11,12,27.65,41.51,2.29,94.89,5.27,0.0138,0,7,6,0.0,71.29,71.29
47A,6,4,8,4,8,12,12,32.0,43.02,2.0,86.04,4.78,0.0143,1,7,5,0.0,73.04,73.04
47A,7,4,7,4,8,11,12,27.65,41.51,2.29,94.89,5.27,0.0138,0,8,6,0.0,71.29,71.29
47A,8,3,8,6,12,11,18,28.75,62.27,2.25,140.11,7.78,0.0208,0,7,7,0.0,68.73,68.73
47A,9,3,8,6,12,11,18,28.75,62.27,2.25,140.11,7.78,0.0208,0,7,7,0.0,68.73,68.73
47A,10,4,9,5,10,13,15,36.53,55.51,2.22,123.35,6.85,0.0185,0,9,9,0.0,66.57,66.57
47A,11,5,10,8,16,15,24,44.83,93.77,4.0,375.06,20.84,0.0313,5,15,15,0.0,59.73,59.73
47A,12,4,9,5,10,13,15,36.53,55.51,2.22,123.35,6.85,0.0185,3,4,5,0.0,72.0,72.0
47A,13,4,7,5,10,11,15,27.65,51.89,2.86,148.26,8.24,0.0173,0,8,8,0.0,67.89,67.89
47A,14,1,4,2,4,5,6,8.0,13.93,0.5,6.97,0.39,0.0046,0,14,11,0.0,68.73,68.73
47A,15,3,4,4,8,7,12,12.75,33.69,3.0,101.06,5.61,0.0112,0,16,10,10.0,84.9,84.9
47A,16,5,13,11,22,18,33,59.72,137.61,4.23,582.19,32.34,0.0459,0,8,7,0.0,66.19,66.19
47A,17,5,8,7,14,13,21,35.61,77.71,4.38,339.98,18.89,0.0259,0,13,13,0.0,61.93,61.93
47A,18,5,8,7,14,13,21,35.61,77.71,4.38,339.98,18.89,0.0259,0,14,14,0.0,61.22,61.22
47A,19,6,9,6,12,15,18,44.04,70.32,4.0,281.3,15.63,0.0234,0,11,11,0.0,63.95,63.95
47A,20,5,11,8,16,16,24,49.66,96.0,3.64,349.09,19.39,0.032,0,20,18,0.0,58.07,58.07
47A,21,4,7,4,8,11,12,27.65,41.51,2.29,94.89,5.27,0.0138,0,7,7,0.0,69.83,69.83
47A,22,4,10,7,14,14,21,41.22,79.95,2.8,223.87,12.44,0.0267,0,8,6,60.0,98.66,98.66
47A,23,4,7,5,10,11,15,27.65,51.89,2.86,148.26,8.24,0.0173,0,6,6,0.0,70.61,70.61
47A,24,5,7,7,14,12,21,31.26,75.28,5.0,376.42,20.91,0.0251,0,10,10,0.0,64.51,64.51
47A,25,4,7,4,8,11,12,27.65,41.51,2.29,94.89,5.27,0.0138,2,10,10,11.11,85.21,85.21
47A,26,5,10,6,12,15,18,44.83,70.32,3.0,210.97,11.72,0.0234,0,9,8,12.5,86.65,86.65
47A,27,4,7,4,8,11,12,27.65,41.51,2.29,94.89,5.27,0.0138,1,3,3,0.0,77.86,77.86
47A,28,5,9,5,10,14,15,40.14,57.11,2.78,158.64,8.81,0.019,0,1,2,0.0,81.0,81.0
47A,29,4,8,5,10,12,15,32.0,53.77,2.5,134.44,7.47,0.0179,0,3,4,0.0,74.61,74.61
47A,30,4,7,4,8,11,12,27.65,41.51,2.29,94.89,5.27,0.0138,0,7,5,0.0,73.02,73.02
47A,31,3,4,4,8,7,12,12.75,33.69,3.0,101.06,5.61,0.0112,0,11,10,10.0,84.9,84.9
47A,32,3,4,4,8,7,12,12.75,33.69,3.0,101.06,5.61,0.0112,3,16,14,7.14,79.28,79.28
47A,33,4,7,4,8,11,12,27.65,41.51,2.29,94.89,5.27,0.0138,0,10,8,0.0,68.7,68.7
47A,34,4,7,4,8,11,12,27.65,41.51,2.29,94.89,5.27,0.0138,0,5,5,0.0,73.02,73.02
47A,35,4,7,4,8,11,12,27.65,41.51,2.29,94.89,5.27,0.0138,0,2,2,0.0,81.7,81.7
47A,mean,4.09,7.71,5.34,10.69,11.8,16.03,31.59,57.9,2.86,182.88,10.16,0.02,0.43,9.09,8.37,3.16,71.85,71.85
47A,std,0.91,2.02,1.85,3.7,2.74,5.55,11.12,25.16,0.91,133.07,7.39,0.01,1.1,4.2,3.68,10.39,8.83,8.83
47C,1,6,67,45,85,73,130,421.94,804.68,3.81,3062.58,170.14,0.2682,0,22,22,0.0,48.35,48.35
47C,mean,6,67,45,85,73,130,421.94,804.68,3.81,3062.58,170.14,0.27,0,22,22,0.0,48.35,48.35
47C,std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48B,1,4,40,36,72,44,108,220.88,589.62,3.6,2122.63,117.92,0.1965,0,31,30,3.33,57.43,57.43
48B,2,6,27,19,38,33,57,143.89,287.53,4.22,1214.02,67.45,0.0958,6,34,30,0.0,48.81,48.81
48B,3,2,11,12,24,13,36,40.05,133.22,2.18,290.65,16.15,0.0444,0,11,13,0.0,59.75,59.75
48B,4,2,14,14,28,16,42,55.3,168.0,2.0,336.0,18.67,0.056,0,29,19,5.26,68.56,68.56
